file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
200,200_functions.wp-styles.php,wordpress_4.0/wp-includes\functions.wp-styles.php,245,9.6,2,True
201,201_class-wp-filesystem-direct.php,wordpress_4.0/wp-admin\includes\class-wp-filesystem-direct.php,384,9.6,2,True
202,202_wrapper.php,wordpress_4.0/wp-content\plugins\akismet\wrapper.php,293,9.5,1,True
203,203_File.php,wordpress_4.0/wp-includes\SimplePie\File.php,292,9.5,4,True
204,204_class-wp-themes-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-themes-list-table.php,279,9.3,5,True
205,205_customize.php,wordpress_4.0/wp-admin\customize.php,278,9.2,4,True
206,206_options-reading.php,wordpress_4.0/wp-admin\options-reading.php,184,9.1,2,True
207,207_comment.php,wordpress_4.0/wp-admin\comment.php,299,8.9,4,True
208,208_ms-deprecated.php,wordpress_4.0/wp-includes\ms-deprecated.php,347,8.8,5,True
209,209_sites.php,wordpress_4.0/wp-admin\network\sites.php,275,8.7,3,True
210,210_post.php,wordpress_4.0/wp-admin\post.php,318,8.6,4,True
211,211_bookmark.php,wordpress_4.0/wp-admin\includes\bookmark.php,305,8.5,2,True
212,212_gzdecode.php,wordpress_4.0/wp-includes\SimplePie\gzdecode.php,371,8.4,3,True
213,213_class-ftp-sockets.php,wordpress_4.0/wp-admin\includes\class-ftp-sockets.php,250,8.3,4,True
214,214_ms-settings.php,wordpress_4.0/wp-includes\ms-settings.php,213,8.3,6,True
